44960	2
45000	1
45080	1
45400	1
45900	1
46090	1
46110	1
46120	1
46180	1
46210	1
46220	1
46230	2
46260	2
46310	2
46320	2
46330	2
46340	1
46350	3
46360	2
46370	1
46380	2
46390	2
46410	2
46420	2
46430	1
46440	4
46450	2
46460	1
46480	1
46490	2
46500	2
46510	4
46520	4
46530	3
46540	2
46550	3
46560	2
46570	2
46580	1
46590	5
46610	6
46620	5
46630	3
46640	2
46650	4
46660	4
46670	1
46680	4
46690	3
46700	1
46710	2
46720	4
46730	3
46740	1
46750	5
46760	4
46770	5
46780	4
46790	1
46800	2
46810	2
46820	3
46830	1
46840	2
46850	2
46860	3
46870	7
46880	3
46890	1
46900	2
46910	2
46920	2
46930	3
46940	2
46950	2
46960	5
46970	1
46980	1
46990	2
47000	4
47010	3
47020	5
47030	2
47040	4
47050	6
47060	3
47070	4
47080	4
47090	1
47110	2
47120	7
47130	4
47140	3
47150	4
47160	3
47170	3
47180	2
47190	4
47200	1
47210	2
47220	5
47230	3
47240	2
47250	1
47260	4
47270	4
47280	1
47290	3
47300	6
47310	5
47340	2
47350	4
47360	3
47370	1
47380	3
47390	3
47400	3
47410	5
47420	1
47430	2
47440	1
47460	2
47480	1
47490	1
47500	1
47510	1
47520	2
47530	5
47540	4
47550	1
47560	2
47580	2
47590	3
47610	6
47620	3
47640	1
47650	4
47660	3
47680	2
47690	2
47700	4
47710	1
47720	3
47730	2
47740	5
47750	3
47760	4
47770	3
47780	3
47790	1
47820	4
47830	1
47840	5
47850	3
47860	3
47880	2
47890	1
47900	1
47910	2
47920	4
47930	2
47940	1
47950	1
47960	2
47970	1
47980	1
47990	2
48000	1
48010	2
48020	1
48030	3
48040	3
48050	3
48060	1
48070	2
48080	1
48100	1
48110	2
48120	3
48130	2
48140	2
48150	4
48160	2
48170	4
48180	1
48190	1
48200	3
48210	6
48220	4
48230	3
48240	2
48250	1
48260	1
48270	4
48290	1
48310	2
48320	1
48330	6
48340	2
48350	2
48360	2
48370	2
