19700	2
19740	3
19750	5
19760	13
19770	26
19780	49
19790	107
19800	166
19810	305
19820	554
19830	916
19840	1458
19850	2331
19860	3529
19870	5227
19880	7488
19890	10171
19900	13913
19910	18387
19920	23138
19930	28365
19940	34100
19950	40102
19960	45887
19970	50565
19980	54866
19990	58124
20000	59909
20010	60473
20020	59596
20030	56764
20040	53900
20050	49431
20060	44526
20070	38933
20080	33515
20090	28194
20100	23034
20110	18831
20120	14799
20130	11602
20140	8687
20150	6427
20160	4810
20170	3641
20180	2736
20190	1897
20200	1485
20210	1151
20220	945
20230	732
20240	594
20250	481
20260	438
20270	351
20280	260
20290	232
20300	228
20310	179
20320	157
20330	114
20340	125
20350	103
20360	76
20370	84
20380	63
20390	91
20400	74
20410	70
20420	96
20430	98
20440	113
20450	111
20460	123
20470	133
20480	134
20490	169
20500	152
20510	177
20520	155
20530	148
20540	158
20550	148
20560	157
20570	150
20580	126
20590	126
20600	134
20610	110
20620	115
20630	144
20640	118
20650	122
20660	135
20670	107
20680	118
20690	101
20700	111
20710	106
20720	102
20730	117
20740	93
20750	128
20760	100
20770	90
20780	107
20790	84
20800	87
20810	69
20820	75
20830	64
20840	65
20850	74
20860	55
20870	75
20880	55
20890	60
20900	67
20910	72
20920	72
20930	61
20940	60
20950	87
20960	64
20970	76
20980	90
20990	76
21000	81
21010	90
21020	102
21030	71
21040	98
21050	97
21060	115
21070	116
21080	117
21090	124
21100	122
21110	127
21120	140
21130	115
21140	126
21150	127
21160	118
21170	126
21180	109
21190	117
21200	119
21210	90
21220	118
21230	72
21240	65
21250	65
21260	68
21270	72
21280	69
21290	54
21300	35
21310	59
21320	47
21330	40
21340	38
21350	47
21360	41
21370	37
21380	24
21390	28
21400	27
21410	25
21420	31
21430	11
21440	19
21450	16
21460	12
21470	15
21480	15
21490	18
21500	12
21510	9
21520	10
21530	16
21540	9
21550	11
21560	13
21570	6
21580	6
21590	4
21600	6
21610	10
21620	7
21630	5
21640	9
21650	8
21660	7
21670	3
21680	7
21690	3
21700	5
21710	7
21720	7
21730	9
21740	3
21750	6
21760	3
21770	2
21780	6
21790	2
21800	7
21810	5
21820	4
21830	1
21840	3
21850	1
21860	2
21870	1
21880	3
21900	3
21910	1
21920	4
21930	4
21940	5
21950	2
21960	2
21970	2
21980	6
21990	2
22000	4
22010	3
22020	1
22030	3
22040	2
22050	4
22070	2
22080	7
22100	1
22110	2
22120	2
22130	1
22140	5
22150	1
22160	2
22170	1
22180	1
22200	2
22210	1
22230	4
22250	2
22260	2
22270	2
22290	2
22300	2
22310	1
22320	1
22330	1
22340	2
22360	2
22380	1
22400	1
22420	1
22430	3
22460	4
22470	1
22540	1
22580	1
22630	1
22650	1
22680	1
22700	1
22710	1
22730	2
22760	1
22850	1
22930	1
23000	1
23060	2
23070	1
23080	4
23100	3
23110	2
23120	4
23130	1
23140	3
23150	4
23160	4
23170	5
23180	4
23190	9
23200	9
23210	10
23220	8
23230	7
23240	7
23250	6
23260	12
23270	14
23280	15
23290	11
23300	16
23310	11
23320	15
23330	14
23340	11
23350	12
23360	8
23370	12
23380	19
23390	9
23400	13
23410	12
23420	3
23430	6
23440	10
23450	9
23460	6
23470	5
23490	5
23500	3
23510	5
23520	3
23540	3
23550	2
23580	1
23590	1
23610	2
23740	1
23770	1
23810	1
23850	1
24040	1
24290	1
24550	1
24570	1
24640	1
25730	1
86250	1
